category,record_index,point_count,hmin,hmax,haverage,vmin,vmax,vaverage,hrange,vrange
plane,0,100,221.234,349.976,260.601,25.4562,43.9864,35.1446,128.742,18.5302
plane,1,100,229.173,355.984,270.249,27.6377,47.7488,36.5931,126.812,20.1112
plane,2,100,240.802,369.324,280.174,29.4969,47.3166,37.9441,128.523,17.8197
plane,3,100,247.734,379.346,289.762,30.2651,48.5896,39.4148,131.612,18.3245
plane,4,100,258.491,386.884,299.575,31.246,51.9543,40.9429,128.393,20.7083
plane,5,100,269.838,398.787,309.703,33.4863,51.3674,42.4926,128.949,17.8811
plane,6,100,282.021,407.121,320.037,35.1067,53.7214,44.1375,125.1,18.6147
plane,7,100,293.158,418.407,330.625,25.0481,45.2221,34.8461,125.249,20.174
plane,8,100,300.537,430.948,340.715,27.2091,45.3278,36.219,130.412,18.1187
plane,9,100,307.359,438.062,350.264,28.7739,47.7032,38.0951,130.702,18.9293
plane,10,100,321.17,449.506,361.008,30.0518,49.8406,39.3615,128.336,19.7888
plane,11,100,220.236,347.296,260.466,30.8746,50.9287,40.9299,127.06,20.0541
plane,12,100,229.236,354.691,270.256,33.122,51.7924,42.6052,125.455,18.6704
plane,13,100,241.308,366.484,280.204,34.45,53.0685,43.9919,125.176,18.6186
plane,14,100,244.092,377.72,290.318,25.4516,44.4893,35.2472,133.628,19.0377
plane,15,100,260.624,388.189,300.439,27.3737,46.1278,36.458,127.566,18.7541
plane,16,100,270.189,400.951,310.599,28.8247,47.7992,37.9607,130.762,18.9745
plane,17,100,280.917,404.147,319.781,29.8973,48.5057,39.4007,123.23,18.6084
plane,18,100,290.468,420.729,329.917,31.408,50.0828,40.8975,130.262,18.6748
plane,19,100,299.534,424.961,340.41,33.3671,51.579,42.5374,125.427,18.2119
plane,20,100,309.687,437.539,350.252,35,52.2911,44.0741,127.852,17.2911
plane,21,100,318.897,450.031,360.843,25.3299,44.7037,34.8697,131.134,19.3737
plane,22,100,213.816,347.903,260.345,26.5844,46.1636,36.399,134.087,19.5792
plane,23,100,230.657,361.092,270.655,27.7961,47.5035,38.0565,130.436,19.7074
plane,24,100,239.984,368.201,280.103,29.7539,49.6223,39.3754,128.217,19.8684
plane,25,100,246.919,376.172,289.342,31.965,51.3728,40.899,129.254,19.4078
plane,26,100,260.822,383.638,300.278,33.3116,51.9478,42.5711,122.816,18.6362
